StartSplit,StartScore,StopSplit,StopScore,SplitSize,PathLength
{ 0 1 4 7 8 },-0.0285387,{ 0 1 4 7 8 },-0.0285387,5,0
{ 0 4 7 8 9 },-0.0216277,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 4 6 8 9 },-0.016636,{ 0 1 4 7 8 },-0.0285387,5,2
{ 7 8 },-0.0250616,{ 7 8 },-0.0250616,2,0
{ 3 8 },-0.0161735,{ 7 8 },-0.0250616,2,1
{ 0 4 7 8 },-0.0255352,{ 0 4 7 8 },-0.0255352,4,0
{ 0 1 7 8 },-0.0249667,{ 0 4 7 8 },-0.0255352,4,1
{ 0 1 8 9 },-0.0190089,{ 0 4 7 8 },-0.0255352,4,2
{ 2 3 5 6 },-0.0254904,{ 2 3 5 6 },-0.0254904,4,0
{ 3 5 6 9 },-0.0249668,{ 2 3 5 6 },-0.0254904,4,1
{ 0 3 6 9 },-0.0182154,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 5 6 },-0.0216915,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 2 3 5 7 },-0.0167011,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 4 7 8 },-0.0208058,{ 0 4 7 8 },-0.0255352,4,1
{ 2 3 4 8 },-0.0180793,{ 0 4 7 8 },-0.0255352,4,2
{ 2 3 },-0.0236405,{ 2 3 },-0.0236405,2,0
{ 3 9 },-0.0212955,{ 2 3 },-0.0236405,2,1
{ 0 1 2 4 7 },-0.0206791,{ 0 1 4 7 8 },-0.0285387,5,1
{ 4 7 8 },-0.025536,{ 4 7 8 },-0.025536,3,0
{ 1 4 7 },-0.0217301,{ 4 7 8 },-0.025536,3,1
{ 5 6 },-0.0245457,{ 5 6 },-0.0245457,2,0
{ 5 9 },-0.0206604,{ 5 6 },-0.0245457,2,1
{ 2 6 },-0.0199069,{ 5 6 },-0.0245457,2,1
{ 2 3 5 9 },-0.0247034,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 3 9 },-0.0196787,{ 2 3 5 6 },-0.0254904,4,2
{ 2 3 9 },-0.0237436,{ 2 3 9 },-0.0237436,3,0
{ 2 3 8 },-0.018477,{ 2 3 9 },-0.0237436,3,1
{ 0 1 4 8 9 },-0.0210823,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 4 5 9 },-0.0177533,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 2 7 8 },-0.0209484,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 2 6 7 },-0.0166264,{ 0 1 4 7 8 },-0.0285387,5,2
{ 5 6 7 9 },-0.0192712,{ 2 3 5 6 },-0.0254904,4,2
{ 0 3 5 6 },-0.0193349,{ 2 3 5 6 },-0.0254904,4,1
{ 0 3 4 5 },-0.0159242,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 5 9 },-0.0210978,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 2 3 7 9 },-0.0174908,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 3 4 6 },-0.0189969,{ 2 3 5 6 },-0.0254904,4,1
{ 1 4 7 8 },-0.0253868,{ 0 4 7 8 },-0.0255352,4,1
{ 1 6 7 8 },-0.0185041,{ 0 4 7 8 },-0.0255352,4,2
{ 2 8 },-0.0159661,{ 7 8 },-0.0250616,2,1
{ 5 8 },-0.0159099,{ 7 8 },-0.0250616,2,1
{ 0 1 3 5 6 },-0.0187547,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 4 5 6 },-0.0175626,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 3 4 7 },-0.0202803,{ 0 1 4 7 8 },-0.0285387,5,1
{ 2 4 6 8 },-0.0166628,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 3 4 8 },-0.0205505,{ 0 1 4 7 8 },-0.0285387,5,1
{ 5 6 9 },-0.023584,{ 5 6 9 },-0.023584,3,0
{ 2 5 6 },-0.0233963,{ 5 6 9 },-0.023584,3,1
{ 0 2 6 },-0.016323,{ 5 6 9 },-0.023584,3,2
{ 0 1 2 4 8 },-0.0206811,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 2 4 6 },-0.0171561,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 7 8 9 },-0.0207228,{ 0 4 7 8 },-0.0255352,4,1
{ 4 6 7 9 },-0.0167032,{ 0 4 7 8 },-0.0255352,4,2
{ 0 4 6 7 8 },-0.0211671,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 4 5 6 8 },-0.0175583,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 4 5 7 },-0.0180603,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 5 6 },-0.0193775,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 4 5 },-0.0162571,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 5 7 },-0.0188035,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 4 6 },-0.0157448,{ 2 3 5 6 },-0.0254904,4,2
{ 2 5 6 9 },-0.0247221,{ 2 3 5 6 },-0.0254904,4,1
{ 2 6 8 9 },-0.0176808,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 3 9 },-0.0192135,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 5 6 9 },-0.0211588,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 2 5 7 9 },-0.0161715,{ 0 1 4 7 8 },-0.0285387,5,2
{ 5 6 7 },-0.0186828,{ 5 6 9 },-0.023584,3,1
{ 0 3 7 8 },-0.0189108,{ 0 4 7 8 },-0.0255352,4,1
{ 0 7 8 },-0.0232129,{ 4 7 8 },-0.025536,3,1
{ 0 2 7 },-0.0165757,{ 4 7 8 },-0.025536,3,2
{ 3 4 7 },-0.0174363,{ 4 7 8 },-0.025536,3,1
{ 1 5 6 },-0.0186186,{ 5 6 9 },-0.023584,3,1
{ 2 4 7 9 },-0.0171535,{ 0 4 7 8 },-0.0255352,4,2
{ 1 2 },-0.0150263,{ 2 3 },-0.0236405,2,1
{ 2 3 4 9 },-0.0197931,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 4 9 },-0.0165858,{ 2 3 5 6 },-0.0254904,4,3
{ 0 3 5 6 8 },-0.0170298,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 5 },-0.0206573,{ 5 6 },-0.0245457,2,1
{ 2 4 5 7 },-0.0166771,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 6 8 },-0.0156366,{ 2 3 5 6 },-0.0254904,4,2
{ 2 7 8 9 },-0.0176193,{ 0 4 7 8 },-0.0255352,4,2
{ 4 6 7 8 },-0.0203609,{ 0 4 7 8 },-0.0255352,4,1
{ 4 5 6 7 },-0.0179571,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 4 7 9 },-0.0209459,{ 0 1 4 7 8 },-0.0285387,5,1
{ 2 4 5 },-0.0170027,{ 5 6 9 },-0.023584,3,2
{ 1 3 7 8 },-0.0187645,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 7 8 9 },-0.0214837,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 5 8 9 },-0.0174912,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 3 9 },-0.0196807,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 9 },-0.0176151,{ 2 3 5 6 },-0.0254904,4,3
{ 1 7 8 },-0.0229544,{ 4 7 8 },-0.025536,3,1
{ 1 7 9 },-0.0165148,{ 4 7 8 },-0.025536,3,2
{ 1 2 3 7 },-0.0167875,{ 2 3 5 6 },-0.0254904,4,3
{ 3 7 },-0.0154392,{ 7 8 },-0.0250616,2,1
{ 0 1 3 7 9 },-0.017486,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 8 9 },-0.017951,{ 4 7 8 },-0.025536,3,1
{ 0 1 8 },-0.0223391,{ 4 7 8 },-0.025536,3,2
{ 0 1 4 },-0.0222798,{ 4 7 8 },-0.025536,3,3
{ 0 3 4 },-0.0164522,{ 4 7 8 },-0.025536,3,4
{ 1 5 6 9 },-0.0197241,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 5 9 },-0.0179279,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 4 8 },-0.0184992,{ 0 4 7 8 },-0.0255352,4,1
{ 0 1 2 5 },-0.0174349,{ 2 3 5 6 },-0.0254904,4,2
{ 3 4 5 9 },-0.0180785,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 },-0.0182527,{ 2 3 9 },-0.0237436,3,1
{ 2 5 9 },-0.0217384,{ 2 3 9 },-0.0237436,3,1
{ 1 3 5 9 },-0.0185499,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 6 },-0.0168167,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 7 },-0.0169319,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 6 7 9 },-0.0171568,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 3 5 6 9 },-0.0214231,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 3 6 7 9 },-0.0162326,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 3 },-0.0148356,{ 2 3 },-0.0236405,2,1
{ 2 7 8 },-0.0189448,{ 4 7 8 },-0.025536,3,1
{ 0 5 6 9 },-0.0197225,{ 2 3 5 6 },-0.0254904,4,2
{ 0 6 7 9 },-0.0158634,{ 2 3 5 6 },-0.0254904,4,3
{ 1 2 4 8 },-0.0183528,{ 0 4 7 8 },-0.0255352,4,2
{ 1 6 7 9 },-0.015863,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 3 5 },-0.0190679,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 5 8 },-0.0158549,{ 2 3 5 6 },-0.0254904,4,2
{ 1 2 7 },-0.0163196,{ 4 7 8 },-0.025536,3,2
{ 0 1 4 5 8 },-0.0205476,{ 0 1 4 7 8 },-0.0285387,5,1
{ 5 6 8 },-0.0185089,{ 5 6 9 },-0.023584,3,1
{ 2 3 6 },-0.022689,{ 2 3 9 },-0.0237436,3,1
{ 1 2 4 9 },-0.0165857,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 5 7 8 },-0.0210823,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 3 5 7 },-0.0168271,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 7 8 },-0.0189673,{ 0 4 7 8 },-0.0255352,4,1
{ 0 2 8 9 },-0.0161851,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 2 6 8 },-0.0164933,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 5 6 8 },-0.0171361,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 9 },-0.0169896,{ 2 3 9 },-0.0237436,3,1
{ 0 6 9 },-0.0165135,{ 5 6 9 },-0.023584,3,1
{ 2 4 9 },-0.0173637,{ 2 3 9 },-0.0237436,3,1
{ 0 2 3 4 6 },-0.0171644,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 3 5 6 7 },-0.0170307,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 5 7 9 },-0.0165902,{ 0 4 7 8 },-0.0255352,4,2
{ 2 3 6 8 },-0.0185926,{ 2 3 5 6 },-0.0254904,4,1
{ 1 5 8 },-0.0165648,{ 4 7 8 },-0.025536,3,2
{ 1 2 5 6 },-0.0192346,{ 2 3 5 6 },-0.0254904,4,1
{ 1 2 5 7 },-0.0158407,{ 2 3 5 6 },-0.0254904,4,2
{ 0 8 9 },-0.0167978,{ 4 7 8 },-0.025536,3,2
{ 0 2 3 4 5 },-0.0171005,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 3 7 8 },-0.0209515,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 3 6 8 },-0.0166289,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 5 6 },-0.0186578,{ 5 6 9 },-0.023584,3,1
{ 0 3 4 7 9 },-0.0168293,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 6 7 8 9 },-0.017035,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 3 8 9 },-0.0177548,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 6 8 9 },-0.0159669,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 5 8 },-0.0166561,{ 5 6 9 },-0.023584,3,2
{ 4 5 7 },-0.0175559,{ 4 7 8 },-0.025536,3,1
{ 0 1 6 7 },-0.0181918,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 6 8 },-0.0155318,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 4 7 8 },-0.0214918,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 5 6 9 },-0.0194155,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 5 },-0.0167691,{ 5 6 9 },-0.023584,3,2
{ 0 4 5 6 7 },-0.0176917,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 9 },-0.0182375,{ 4 7 8 },-0.025536,3,3
{ 0 1 3 4 5 },-0.0170898,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 5 6 8 },-0.0178279,{ 0 4 7 8 },-0.0255352,4,2
{ 2 5 7 8 },-0.0171413,{ 0 4 7 8 },-0.0255352,4,2
{ 1 7 8 9 },-0.0191567,{ 0 4 7 8 },-0.0255352,4,2
{ 2 4 5 8 },-0.0165473,{ 0 4 7 8 },-0.0255352,4,2
{ 3 5 6 },-0.023298,{ 5 6 9 },-0.023584,3,1
{ 0 3 6 },-0.0162256,{ 5 6 9 },-0.023584,3,2
{ 4 7 9 },-0.0177295,{ 4 7 8 },-0.025536,3,1
{ 0 1 6 8 9 },-0.017158,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 7 8 9 },-0.0191582,{ 0 4 7 8 },-0.0255352,4,1
{ 1 2 3 },-0.0179989,{ 2 3 9 },-0.0237436,3,1
{ 2 3 5 },-0.0230033,{ 2 3 9 },-0.0237436,3,1
{ 1 2 3 6 },-0.0185938,{ 2 3 5 6 },-0.0254904,4,1
{ 0 1 7 },-0.0221161,{ 4 7 8 },-0.025536,3,2
{ 0 3 4 7 8 },-0.0212277,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 3 4 6 7 },-0.016104,{ 0 1 4 7 8 },-0.0285387,5,2
{ 5 7 8 },-0.0187725,{ 4 7 8 },-0.025536,3,1
{ 0 6 8 },-0.0161311,{ 4 7 8 },-0.025536,3,2
{ 0 2 3 6 7 },-0.0166318,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 5 7 9 },-0.017491,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 3 8 9 },-0.0195344,{ 2 3 5 6 },-0.0254904,4,2
{ 5 7 9 },-0.0168289,{ 5 6 9 },-0.023584,3,1
{ 3 4 7 8 },-0.0204747,{ 0 4 7 8 },-0.0255352,4,1
{ 3 6 7 8 },-0.0170709,{ 0 4 7 8 },-0.0255352,4,2
{ 1 4 6 9 },-0.0161336,{ 2 3 5 6 },-0.0254904,4,3
{ 8 9 },-0.0159798,{ 7 8 },-0.0250616,2,1
{ 0 1 2 3 },-0.018235,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 8 },-0.0166,{ 4 7 8 },-0.025536,3,2
{ 0 1 6 },-0.0173757,{ 4 7 8 },-0.025536,3,3
{ 0 3 8 9 },-0.0165784,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 4 7 9 },-0.0169643,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 3 6 9 },-0.0179537,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 3 5 },-0.0166721,{ 5 6 9 },-0.023584,3,2
{ 0 3 4 7 },-0.0180033,{ 0 4 7 8 },-0.0255352,4,1
{ 0 3 5 7 9 },-0.0163032,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 2 7 },-0.0184939,{ 0 4 7 8 },-0.0255352,4,2
{ 2 4 6 7 },-0.0167916,{ 0 4 7 8 },-0.0255352,4,2
{ 1 8 9 },-0.0167362,{ 4 7 8 },-0.025536,3,2
{ 0 3 },-0.0152908,{ 2 3 },-0.0236405,2,1
{ 0 1 },-0.022339,{ 0 1 },-0.022339,2,0
{ 3 5 8 9 },-0.0181109,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 4 7 },-0.0174922,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 6 8 9 },-0.0158806,{ 2 3 5 6 },-0.0254904,4,3
{ 0 3 4 8 },-0.0183138,{ 0 4 7 8 },-0.0255352,4,1
{ 1 3 5 6 },-0.0191918,{ 2 3 5 6 },-0.0254904,4,1
{ 1 3 5 7 },-0.0156535,{ 2 3 5 6 },-0.0254904,4,2
{ 1 2 8 },-0.0163441,{ 4 7 8 },-0.025536,3,2
{ 5 7 8 9 },-0.0173471,{ 0 4 7 8 },-0.0255352,4,2
{ 6 7 },-0.0152361,{ 7 8 },-0.0250616,2,1
{ 1 2 5 9 },-0.0183042,{ 2 3 5 6 },-0.0254904,4,2
{ 0 5 },-0.016218,{ 5 6 },-0.0245457,2,1
{ 0 4 6 7 },-0.0180344,{ 0 4 7 8 },-0.0255352,4,1
{ 2 3 4 5 },-0.0188893,{ 2 3 5 6 },-0.0254904,4,1
{ 0 4 5 9 },-0.0163148,{ 2 3 5 6 },-0.0254904,4,3
{ 3 6 7 9 },-0.0179108,{ 2 3 5 6 },-0.0254904,4,2
{ 1 4 5 6 },-0.0173907,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 4 8 9 },-0.0169651,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 4 7 },-0.0183344,{ 0 4 7 8 },-0.0255352,4,2
