StartSplit,StartScore,StopSplit,StopScore,SplitSize,PathLength
{ 0 4 7 9 },-0.0183963,{ 0 4 7 8 },-0.0255352,4,1
{ 0 2 3 8 9 },-0.017624,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 5 6 },-0.0190111,{ 2 3 5 6 },-0.0254904,4,1
{ 4 6 8 9 },-0.0167208,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 2 8 9 },-0.0173544,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 5 7 8 },-0.0202389,{ 0 4 7 8 },-0.0255352,4,1
{ 0 3 8 },-0.0167015,{ 4 7 8 },-0.025536,3,2
{ 1 2 3 5 },-0.0189254,{ 2 3 5 6 },-0.0254904,4,1
{ 2 3 6 7 },-0.0185769,{ 2 3 5 6 },-0.0254904,4,1
{ 0 3 4 5 6 },-0.0172958,{ 0 1 4 7 8 },-0.0285387,5,2
{ 6 9 },-0.0199061,{ 5 6 },-0.0245457,2,1
{ 0 1 2 3 6 },-0.0180876,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 9 },-0.0154898,{ 0 1 },-0.022339,2,1
{ 0 5 7 },-0.0167969,{ 4 7 8 },-0.025536,3,2
{ 1 3 7 9 },-0.0162695,{ 2 3 5 6 },-0.0254904,4,3
{ 3 4 5 7 },-0.0161986,{ 0 4 7 8 },-0.0255352,4,2
{ 3 4 9 },-0.0172625,{ 2 3 9 },-0.0237436,3,1
{ 1 3 4 7 },-0.0178565,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 4 7 },-0.0242006,{ 0 4 7 8 },-0.0255352,4,1
{ 0 2 4 5 9 },-0.0165705,{ 0 1 4 7 8 },-0.0285387,5,2
{ 5 7 },-0.0159689,{ 7 8 },-0.0250616,2,1
{ 1 3 6 9 },-0.0182168,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 3 5 9 },-0.0182942,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 6 8 },-0.0164524,{ 5 6 9 },-0.023584,3,2
{ 2 6 7 8 },-0.0171118,{ 0 4 7 8 },-0.0255352,4,2
{ 0 4 8 },-0.0222126,{ 4 7 8 },-0.025536,3,1
{ 0 3 7 8 9 },-0.0174968,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 4 5 },-0.0165124,{ 4 7 8 },-0.025536,3,4
{ 1 2 8 9 },-0.0161856,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 5 6 8 },-0.0168946,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 2 3 8 },-0.0178839,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 4 5 8 9 },-0.0165662,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 7 },-0.016024,{ 7 8 },-0.0250616,2,1
{ 2 6 9 },-0.0214228,{ 2 3 9 },-0.0237436,3,1
{ 0 1 3 8 },-0.0186177,{ 0 4 7 8 },-0.0255352,4,2
{ 2 5 6 7 },-0.0190709,{ 2 3 5 6 },-0.0254904,4,1
{ 1 4 6 7 },-0.0178871,{ 0 4 7 8 },-0.0255352,4,2
{ 4 5 8 9 },-0.0166068,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 4 8 },-0.0243666,{ 0 4 7 8 },-0.0255352,4,1
{ 0 1 3 4 },-0.0185762,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 4 9 },-0.016541,{ 2 3 5 6 },-0.0254904,4,3
{ 1 7 },-0.0193959,{ 7 8 },-0.0250616,2,1
{ 2 3 4 },-0.0186259,{ 2 3 9 },-0.0237436,3,1
{ 0 1 3 5 8 },-0.0169613,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 8 },-0.0227619,{ 7 8 },-0.0250616,2,1
{ 0 1 5 },-0.0184621,{ 4 7 8 },-0.025536,3,3
{ 1 4 6 },-0.0160158,{ 4 7 8 },-0.025536,3,4
{ 0 1 5 8 },-0.0188212,{ 0 4 7 8 },-0.0255352,4,2
{ 1 4 8 },-0.0219535,{ 4 7 8 },-0.025536,3,1
{ 3 4 6 7 },-0.0163126,{ 0 4 7 8 },-0.0255352,4,2
{ 2 9 },-0.0207069,{ 2 3 },-0.0236405,2,1
{ 0 5 8 9 },-0.0162052,{ 2 3 5 6 },-0.0254904,4,3
{ 0 3 6 7 },-0.0154734,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 6 9 },-0.0176889,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 4 5 6 },-0.0175359,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 2 },-0.0178478,{ 4 7 8 },-0.025536,3,3
{ 0 4 8 9 },-0.0185609,{ 0 4 7 8 },-0.0255352,4,1
{ 3 7 8 9 },-0.017867,{ 0 4 7 8 },-0.0255352,4,2
{ 5 8 9 },-0.0168511,{ 5 6 9 },-0.023584,3,1
{ 0 1 5 6 },-0.0188584,{ 2 3 5 6 },-0.0254904,4,3
{ 0 6 },-0.0146898,{ 5 6 },-0.0245457,2,1
{ 0 2 4 6 },-0.0160781,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 5 8 },-0.0168251,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 3 8 },-0.0169503,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 6 7 8 },-0.0166356,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 6 },-0.0188729,{ 5 6 9 },-0.023584,3,1
{ 0 2 6 7 9 },-0.0161013,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 6 7 },-0.0174547,{ 4 7 8 },-0.025536,3,1
{ 0 1 3 },-0.0177518,{ 4 7 8 },-0.025536,3,3
{ 2 5 7 9 },-0.0178496,{ 2 3 5 6 },-0.0254904,4,2
{ 0 5 6 7 9 },-0.0175596,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 7 8 9 },-0.0170984,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 },-0.0154945,{ 2 3 },-0.0236405,2,1
{ 0 2 4 6 8 },-0.0163707,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 3 7 8 },-0.0185277,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 2 5 9 },-0.018029,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 6 8 9 },-0.0180729,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 4 5 },-0.0173557,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 5 6 8 },-0.0188979,{ 2 3 5 6 },-0.0254904,4,1
{ 3 4 7 9 },-0.0169631,{ 0 4 7 8 },-0.0255352,4,2
{ 2 8 9 },-0.0170191,{ 2 3 9 },-0.0237436,3,1
{ 1 5 6 7 },-0.0172654,{ 2 3 5 6 },-0.0254904,4,3
{ 0 5 6 7 8 },-0.0180906,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 4 6 7 },-0.0165038,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 5 },-0.0165142,{ 5 6 9 },-0.023584,3,2
{ 0 1 3 4 9 },-0.017882,{ 0 1 4 7 8 },-0.0285387,5,2
{ 6 7 8 },-0.0184776,{ 4 7 8 },-0.025536,3,1
{ 0 1 2 8 },-0.018512,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 3 5 8 },-0.0166997,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 4 6 9 },-0.0166335,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 4 6 7 9 },-0.0166347,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 4 6 8 },-0.0179061,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 4 5 7 },-0.0160342,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 3 4 9 },-0.0165407,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 3 9 },-0.0178615,{ 2 3 5 6 },-0.0254904,4,3
{ 2 3 5 7 },-0.0186145,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 5 7 },-0.015985,{ 2 3 5 6 },-0.0254904,4,2
{ 1 3 4 5 },-0.0157794,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 7 8 9 },-0.0172298,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 3 4 },-0.0173497,{ 2 3 5 6 },-0.0254904,4,3
{ 4 6 },-0.0152897,{ 5 6 },-0.0245457,2,1
{ 3 6 },-0.0197136,{ 5 6 },-0.0245457,2,1
{ 7 8 9 },-0.0189482,{ 4 7 8 },-0.025536,3,1
{ 3 4 6 9 },-0.0181846,{ 2 3 5 6 },-0.0254904,4,2
{ 1 4 9 },-0.0166817,{ 4 7 8 },-0.025536,3,4
{ 0 7 },-0.0198559,{ 7 8 },-0.0250616,2,1
{ 0 1 7 9 },-0.0188444,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 3 4 8 },-0.0176268,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 9 },-0.0172151,{ 5 6 9 },-0.023584,3,1
{ 0 1 4 6 },-0.01846,{ 0 4 7 8 },-0.0255352,4,2
{ 4 5 },-0.0156293,{ 5 6 },-0.0245457,2,1
{ 2 4 8 9 },-0.0171705,{ 0 4 7 8 },-0.0255352,4,2
{ 3 4 8 },-0.017854,{ 4 7 8 },-0.025536,3,1
{ 4 5 8 },-0.01758,{ 4 7 8 },-0.025536,3,1
{ 0 4 5 },-0.0167691,{ 4 7 8 },-0.025536,3,4
{ 1 3 4 8 },-0.0181672,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 3 6 8 },-0.0166313,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 6 9 },-0.0217118,{ 2 3 9 },-0.0237436,3,1
{ 0 2 5 7 8 },-0.0166976,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 6 },-0.0164037,{ 5 6 9 },-0.023584,3,2
{ 0 3 7 9 },-0.0162694,{ 2 3 5 6 },-0.0254904,4,3
{ 0 4 9 },-0.0167441,{ 4 7 8 },-0.025536,3,4
{ 0 2 4 5 8 },-0.0162995,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 5 8 },-0.0157109,{ 2 3 5 6 },-0.0254904,4,2
{ 3 5 },-0.0204652,{ 5 6 },-0.0245457,2,1
{ 0 3 5 9 },-0.0185479,{ 2 3 5 6 },-0.0254904,4,2
{ 4 5 9 },-0.0168042,{ 5 6 9 },-0.023584,3,1
{ 0 1 4 6 9 },-0.0175523,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 5 6 7 },-0.0188826,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 7 9 },-0.0161684,{ 2 3 5 6 },-0.0254904,4,3
{ 4 6 9 },-0.0166924,{ 5 6 9 },-0.023584,3,1
{ 0 4 5 7 9 },-0.0165658,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 3 5 7 },-0.0157979,{ 2 3 5 6 },-0.0254904,4,2
{ 0 8 },-0.020198,{ 7 8 },-0.0250616,2,1
{ 0 3 9 },-0.0172802,{ 2 3 9 },-0.0237436,3,1
{ 0 4 5 8 },-0.0182247,{ 0 4 7 8 },-0.0255352,4,1
{ 1 5 9 },-0.0171559,{ 5 6 9 },-0.023584,3,1
{ 2 3 7 },-0.0182581,{ 2 3 9 },-0.0237436,3,1
{ 2 4 6 9 },-0.0182306,{ 2 3 5 6 },-0.0254904,4,2
{ 1 2 9 },-0.0169304,{ 2 3 9 },-0.0237436,3,1
{ 0 3 7 },-0.0162842,{ 4 7 8 },-0.025536,3,2
{ 1 3 6 7 },-0.0153283,{ 2 3 5 6 },-0.0254904,4,2
{ 3 8 9 },-0.0175069,{ 2 3 9 },-0.0237436,3,1
{ 1 3 4 },-0.0161953,{ 4 7 8 },-0.025536,3,4
{ 0 1 4 5 7 },-0.0205459,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 3 5 8 9 },-0.0164361,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 3 7 9 },-0.019373,{ 2 3 5 6 },-0.0254904,4,2
{ 1 5 8 9 },-0.0162057,{ 2 3 5 6 },-0.0254904,4,3
{ 0 4 },-0.0199036,{ 7 8 },-0.0250616,2,2
{ 0 1 2 5 6 },-0.0187543,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 4 5 6 },-0.0193451,{ 2 3 5 6 },-0.0254904,4,1
{ 3 5 7 9 },-0.0179499,{ 2 3 5 6 },-0.0254904,4,2
{ 3 5 9 },-0.0220281,{ 2 3 9 },-0.0237436,3,1
{ 0 4 6 9 },-0.0161344,{ 2 3 5 6 },-0.0254904,4,3
{ 0 5 8 },-0.0168207,{ 4 7 8 },-0.025536,3,2
{ 1 2 6 },-0.0160687,{ 5 6 9 },-0.023584,3,2
{ 1 3 8 9 },-0.0165787,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 7 8 },-0.0189504,{ 0 4 7 8 },-0.0255352,4,1
{ 1 2 6 9 },-0.0179716,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 4 5 },-0.0189266,{ 0 4 7 8 },-0.0255352,4,2
{ 1 2 4 6 },-0.0159329,{ 2 3 5 6 },-0.0254904,4,2
{ 1 4 8 9 },-0.0185589,{ 0 4 7 8 },-0.0255352,4,2
{ 2 4 7 },-0.0181196,{ 4 7 8 },-0.025536,3,1
{ 0 2 5 },-0.0170226,{ 5 6 9 },-0.023584,3,2
{ 0 5 6 8 },-0.0172808,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 2 3 7 },-0.0177493,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 6 7 },-0.0162327,{ 5 6 9 },-0.023584,3,2
{ 1 4 5 8 },-0.0180783,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 6 7 },-0.0156609,{ 2 3 5 6 },-0.0254904,4,2
{ 1 4 7 9 },-0.0183941,{ 0 4 7 8 },-0.0255352,4,2
{ 2 4 6 },-0.0168928,{ 5 6 9 },-0.023584,3,2
{ 0 1 4 6 7 },-0.0203522,{ 0 1 4 7 8 },-0.0285387,5,1
{ 1 8 },-0.0197385,{ 7 8 },-0.0250616,2,1
{ 1 6 8 },-0.0158744,{ 4 7 8 },-0.025536,3,2
{ 2 4 8 },-0.0181443,{ 4 7 8 },-0.025536,3,1
{ 3 7 9 },-0.0170913,{ 2 3 9 },-0.0237436,3,1
{ 2 5 6 8 },-0.0187938,{ 2 3 5 6 },-0.0254904,4,1
{ 0 1 3 5 },-0.0173933,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 3 6 },-0.0167746,{ 2 3 5 6 },-0.0254904,4,2
{ 1 3 6 },-0.015971,{ 5 6 9 },-0.023584,3,2
{ 2 3 6 9 },-0.024658,{ 2 3 5 6 },-0.0254904,4,1
{ 4 6 8 },-0.0174802,{ 4 7 8 },-0.025536,3,1
{ 0 1 4 5 6 },-0.0186122,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 3 6 8 },-0.0154917,{ 2 3 5 6 },-0.0254904,4,2
{ 1 4 5 9 },-0.0163147,{ 2 3 5 6 },-0.0254904,4,3
{ 2 6 8 },-0.0163525,{ 5 6 9 },-0.023584,3,2
{ 3 5 7 8 },-0.017101,{ 0 4 7 8 },-0.0255352,4,2
{ 5 6 8 9 },-0.0191406,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 3 7 },-0.0183073,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 5 6 7 },-0.0171638,{ 0 1 4 7 8 },-0.0285387,5,2
{ 6 8 9 },-0.0165455,{ 5 6 9 },-0.023584,3,1
{ 0 1 5 6 7 },-0.0183501,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 5 9 },-0.018302,{ 2 3 5 6 },-0.0254904,4,2
{ 1 2 6 7 },-0.0155161,{ 2 3 5 6 },-0.0254904,4,2
{ 1 5 7 8 },-0.0188213,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 5 8 9 },-0.0160361,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 6 7 9 },-0.017811,{ 2 3 5 6 },-0.0254904,4,2
{ 0 4 5 7 },-0.0182069,{ 0 4 7 8 },-0.0255352,4,1
{ 2 5 7 },-0.0168308,{ 5 6 9 },-0.023584,3,2
{ 2 7 9 },-0.0169964,{ 2 3 9 },-0.0237436,3,1
{ 1 5 7 },-0.0165408,{ 4 7 8 },-0.025536,3,2
{ 6 7 8 9 },-0.017316,{ 0 4 7 8 },-0.0255352,4,2
{ 1 2 6 8 },-0.0153872,{ 2 3 5 6 },-0.0254904,4,2
{ 1 4 },-0.0194426,{ 7 8 },-0.0250616,2,2
{ 0 1 2 5 7 },-0.0169592,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 3 5 8 },-0.0186291,{ 2 3 5 6 },-0.0254904,4,1
{ 2 3 4 7 },-0.0179164,{ 0 4 7 8 },-0.0255352,4,2
{ 1 5 },-0.0157634,{ 5 6 },-0.0245457,2,1
{ 1 3 8 },-0.0164453,{ 4 7 8 },-0.025536,3,2
{ 2 4 5 9 },-0.018124,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 4 9 },-0.0180235,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 9 },-0.0156951,{ 7 8 },-0.0250616,2,2
{ 0 1 2 4 },-0.0189085,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 2 7 9 },-0.0173538,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 5 7 },-0.0165384,{ 5 6 9 },-0.023584,3,2
{ 0 3 5 },-0.0169259,{ 5 6 9 },-0.023584,3,2
{ 3 5 8 },-0.0167567,{ 5 6 9 },-0.023584,3,2
{ 0 2 3 8 },-0.0170946,{ 2 3 5 6 },-0.0254904,4,3
{ 0 3 4 5 8 },-0.0161684,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 3 9 },-0.0172207,{ 2 3 9 },-0.0237436,3,1
{ 1 6 },-0.0142336,{ 5 6 },-0.0245457,2,1
